Class,Car,Car Model,restrictor,ballast,No,Team,Driver,GUID,Status,Livery_folder,Class,Car,Car Model,restrictor,ballast,No,Team,Driver,GUID,Status,Livery_folder
GT3-AM,Aston Martin Vantage GT3 EVO 2024,acf_aston_martin_vantage_gt3,,,222,AM 222 | Team PRONEX,222 | Matthew Alexander;222 | Dimas Yuwono;222 | Ardimo Harsa,76561198131279515;76561198336514026;76561198064984500,Valid,222 - Team PRONEX,,,,,,,,,,,
GT3-AM,Audi R8 LMS EVO II 2021,fsr_audi_lms_evo_ii_gt3,,,981,AM 981 | Balapan Random Motorsports,981 | Christopher Vinantius;981 | Naufal Bagas,76561198313709093;76561198403291411,Valid,#981_BRM_AM,,,,,,,,,,,
GT3-AM,Toyota Prius GT300 (P),kbrt_toyota_prius_gt300_cec_specs,,,223,AM 223 | Komet Balap Racing Team,223 | Muhammad Naufal Farras;223 | Adit Setya;223 | Galih Yoga;223 | Farizha Fiqri,76561198304733652;76561199157704665;76561199384740304;76561198122178200,Valid,#223 - Komet Balap Racing Team - GT3 AM,,,,,,,,,,,
GT3-AM,PEA Nemesis GT3 (P),psy_nemesis_gt3,,30,999,AM 999 | Psychopath eRacing Academy,999 | Mada Andhika;999 | Denzel Kalalo,76561198410251388;76561199385175059,Valid,999_PEA_AM,,,,,,,,,,,
GT3-AM,Aston Martin Vantage GT3 EVO 2024,acf_aston_martin_vantage_gt3,,,821,AM 821 | Team PRONEX,821 | Naufal Thirafi;821 | Erminio Raafi Marsal,76561199148347716;76561199012688042,Valid,821 - Team PRONEX,,,,,,,,,,,
GT3-AM,BMW M6 GT3 (P),KSR_BMW_M6_GT3,,,88,AM 88 | Barcode Gokart KSR,88 | Andre Setiawan;88 | Keanen Liwang,76561198156011553;76561198044739019,Valid,#88_Barcode Gokart KSR_AM,,,,,,,,,,,
GT3-AM,BMW M4 GT3 2022,ks_bmw_m4_gt3,,,99,AM 99 | FrontlineID Motorsport,99 | Fahry Alamsyah;99 | Muhammad Amru Farrel,76561199204486099;76561199481527432,Valid,#99_FrontlineID Motorsport_AM,,,,,,,,,,,
GT3-AM,BMW M4 GT3 2022,ks_bmw_m4_gt3,,,23,AM 23 | Subsector MPRGP,23 | Johanes Isaac;23 | Renan Defansha,76561199587249746;76561199587249746,Valid,#23_SubSectorMPRGP_AM,,,,,,,,,,,
GT3-AM,Porsche 992 GT3 R 2023,porsche_992_gt3_r,,,992,AM 992 | FrontlineID Motorsport,992 | Akhmad Maulana;992 | Rahsya Prakash;992 | Rifki Zulkarnain,76561198143282227;76561199126534532;76561199440884010,Valid,#992_FrontlineID Motorsport_AM,,,,,,,,,,,
GT3-PRO,Audi R8 LMS EVO II 2021,fsr_audi_lms_evo_ii_gt3,,,898,PRO 898 | Balapan Random Motorsports,898 | Ahmad Jusmin;898 | Kanzaini Ramdani,76561199121912949;76561198205069805,Valid,#898_BRM_Pro,,,,,,,,,,,
GT3-PRO,Aston Martin Vantage GT3 EVO 2024,acf_aston_martin_vantage_gt3,,,292,PRO 292 | M92 Motorsport,292 | Yahya Senuadjie;292 | Resal Irsyad,76561199113187160;76561198210866605,Valid,292 - M92 Motorsport,,,,,,,,,,,
GT3-PRO,BEGO BRD-03 GT3 EVO (P),bego_brd03_gt3_evo_crc_spec_2026,,,558,PRO 558 | B.E.G.O. Racing Division,558 | Derrek Daniel;558 | Yosi Sofyan,76561199061977698;76561198375921759,Valid,558,,,,,,,,,,,
GT3-PRO,BEGO BRD-03 GT3 EVO (P),bego_brd03_gt3_evo_crc_spec_2026,,,567,PRO 567 | Vhoung by B.E.G.O. Racing Division,567 | Victor Strulovitch;567 | Dhafin Widyadhana;567 | Erifino Nugroho,76561198097620790;76561198139355756;76561198380924673,Valid,567,,,,,,,,,,,
GT3-PRO,Aston Martin Vantage GT3 EVO 2024,acf_aston_martin_vantage_gt3,,,392,PRO 392 | M92 Motorsport,392 | Eric Satria;392 | Pratama Aji;392 | Alfikho Azka Dinova,76561198386843572;76561198970003536;76561199049863279,Valid,392 - M92 Motorsport,,,,,,,,,,,
GT3-PRO,BMW M3 GTR (P),hgm_m3_gtr,,,7,PRO 7 | Zeta Ronin Motorsport,7 | Syahzan Naufal Mifzal;7 | Sofyan Aldian Rahman;7 | Alief Fauzan Rizki;7 | Mario Claudius Widagdo,76561199186393701;76561199670460018;76561198963653625;76561199493888978,Valid,ZRM #7,,,,,,,,,,,
GT3-PRO,BMW M3 GTR (P),hgm_m3_gtr,,,147,PRO 147 | PEAXJPRT,147 | Iqbaal Kurniawan;147 | Fahreza Ali Syahdani;147 | Ardiansyah Rizki Gunawan,76561198212278361;76561198045134497;76561198386414138,Valid,147_PEAXJPRT_Pro,,,,,,,,,,,
GT3-PRO,Mazda RX Vision GT3 (P),steeze_mazda_rx_vision_gt3,,,345,PRO 345 | STEEZE CHARLIE,345 | Kenang Maulana Ghofar;345 | Bagas Darmawan;345 | Faiz Badriawan;345 | Audie Devanugraha,76561198795986747;76561199088108962;76561198873611569;76561198197043475,Valid,#345_STEEZE Charlie_AM,,,,,,,,,,,
GT3-PRO,Aston Martin Vantage GT3 EVO 2024,acf_aston_martin_vantage_gt3,,,492,PRO 492 | M92 Motorsport,492 | Alif Al-Hafidzi;492 | Muhammad Yanuar;492 | Adrian Achmad,76561199451574625;76561198134369352;76561199214400860,Valid,492 - M92 Motorsport,,,,,,,,,,,
GT3-PRO,Audi R8 LMS EVO II 2021,fsr_audi_lms_evo_ii_gt3,,,95,PRO 95 | SPEARHEAD MOTORSPORT,95 | Yuki Santos;95 | Irvin Martija;95 | Vince Tuico,76561199210935401;76561198311965373;76561198331502095,Valid,SPEARHEAD_GT3_PRO_#095,,,,,,,,,,,
GT3-PRO,BEGO BRD-03 GT3 EVO (P),bego_brd03_gt3_evo_crc_spec_2026,,,669,PRO 669 | B.E.G.O. Racing Division,669 | Reynaldi Widjaja;669 | Rifky Aryananda,76561198137270835;76561198233155388,Valid,669,,,,,,,,,,,
GT3-PRO,BMW M4 GT3 2022,ks_bmw_m4_gt3,,,727,PRO 727 | Entropy Motorsport TS,727 | Muhammad Fathurrahman;727 | Riky Hernanda;727 | Naufal Faiz,76561199050113642;76561198441451913;76561198319172455,Valid,#727_Entropy Motorsport_PRO,,,,,,,,,,,
GT3-PRO,Aston Martin Vantage GT3 EVO 2024,acf_aston_martin_vantage_gt3,,,212,PRO 212 | PRONEX M92,212 | Timo Reyhan Iskandar;212 | Ritzky Novhar,76561198138764141;76561198413877328,Valid,212 - Pronex M92,,,,,,,,,,,
GT3-PRO,BMW M3 GTR (P),hgm_m3_gtr,,,21,PRO 21 | ZRM x PEA,21 | Steven Aris Nugroho;21 | Berto Krissetianto;21 | Fathur Rahman,76561198980309097;76561198091667989;76561198125061496,Valid,PEA X ZRM #21,,,,,,,,,,,
GT3-PRO,Mazda RX Vision GT3 (P),steeze_mazda_rx_vision_gt3,,,311,PRO 311 | Entropy Motorsport PV,311 | Rafi Rahadyan;311 | Naufal Afif;311 | Tristan Ardiansyah,76561198114102048;76561198376696307;76561198351916897,Valid,#311_Entropy Motorsport PV_PRO,,,,,,,,,,,
GT3-PRO,Ford Mustang GT3 2024,ford_mustang_gt3,,,55,PRO 55 | SPEARHEAD MOTORSPORT,55 | Simon Penales;55 | Enrico Penales;55 | Daryll Zamora,76561198338816529;76561198138251373;76561198391989787,Valid,SPEARHEAD_GT3_PRO_#55,,,,,,,,,,,
GT3-PRO,Porsche 992 GT3 R 2023,porsche_992_gt3_r,,,6,PRO 6 | KAMIKAZE Uma Racing Team,6 | Erico Contreras;6 | Jayver Christer Lazona,76561198334528754;76561198873986592,Valid,#6 KAMIKAZE UMA RACING TEAM - SILENCE SUZUKA,,,,,,,,,,,
GT3-PRO,Mazda RX Vision GT3 (P),steeze_mazda_rx_vision_gt3,,,234,PRO 234 | STEEZE Bravo,234 | Raynaldi Edo;234 | Syawallul Akbar;234 | Arif Rakhmansyah;234 | Adhiyasa Pratama,76561198250346956;76561198290246844;76561198989884315;76561199682701968,Valid,#234_STEEZE Bravo_PRO,,,,,,,,,,,
Hypercar,BMW M Hybrid V8,bmw_m_hybrid_v8,,,56,HY 56 | Artito Racing,56 | Kenneth Montemayor;56 | Joaquin Ignacio;56 | Ahmed Mido,76561198314293016;76561198300292281;76561199832907223,Valid,2026 Artito Racing #56,,,,,,,,,,,
Hypercar,M92 Aston Martin Valkyrie (P),M92_Aston_Martin_Valkyrie,,,192,HY 192 | M92 Motorsport,192 | Suryo Pambudi;192 | Rafid Fadhil,76561198084528329;76561199566283152,Valid,192_M92 Motorsport,,,,,,,,,,,
Hypercar,M92 Aston Martin Valkyrie (P),M92_Aston_Martin_Valkyrie,,,92,HY 92 | M92 Motorsport,92 | Gerlandi Haqi;92 | Adhi Nugrahanto,76561198305633581;76561199003375999,Valid,92_M92 Motorsport,,,,,,,,,,,
Hypercar,BMW M Hybrid V8,bmw_m_hybrid_v8,,,65,HY 65 | Artito Racing,65 | Yohanes Candra;65 | Felix Lau,76561198887475231;76561198816668505,Valid,2026 Artito Racing #65,,,,,,,,,,,
Hypercar,M92 Aston Martin Valkyrie (P),M92_Aston_Martin_Valkyrie,,,40,HY 40 | M92 Spontan,40 | Adhitya Nugroho;40 | Darien Zufar,76561199098256162;76561199009268395,Valid,40_M92 Spontan,,,,,,,,,,,
Hypercar,BEGO BRD02 LMH (P),bego_brd02_lmh_crc_spec_2026,,,420,HY 420 | B.E.G.O. Racing Division,420 | Joshua Ivan Mulyono;420 | Surya Perdana Putra,76561198216249769;76561198345549008,Valid,420,,,,,,,,,,,
Hypercar,BMW M Hybrid V8,bmw_m_hybrid_v8,,,89,HY 89 | Balapan Random Motorsports,89 | Hanif Mulyana;89 | Fajar Rafly,76561199151358778;76561199487191671,Valid,#89_BRM_HY,,,,,,,,,,,
Hypercar,BEGO BRD02 LMH (P),bego_brd02_lmh_crc_spec_2026,,,69,HY 69 | B.E.G.O. Racing Division,69 | Ferdy Gerry Ramadhan;69 | Joshua Ivan Mulyono,76561198159081249;76561198438331108,Valid,69,,,,,,,,,,,
Hypercar,BEGO BRD02 LMH (P),bego_brd02_lmh_crc_spec_2026,,,67,HY 67 | Vhoung by B.E.G.O. Racing Division,67 | Rafif Prahastya;67 | Billie Ebenhaezer,76561198163172708;76561198407108319,Valid,67,,,,,,,,,,,
Hypercar,Vanwall Vandervell 680,vanwall_vandervell_680,,,22,HY 22 | Subsector MPRGP,22 | Ferriz Achsan;22 | Aulia Wafiq Prianata,76561198333980630;76561198333980630,Valid,,,,,,,,,,,,
Hypercar,BMW M Hybrid V8,bmw_m_hybrid_v8,,,991,HY 991 | Balapan Random Motorsports,991 | Ahmad Nur Ihsan;991 | Radithya Maheswara,76561198180767354;76561199111992881,Valid,#991_BRM_HY,,,,,,,,,,,
Hypercar,Lamborghini SC63,lamborguini_sc63,,,989,HY 989 | Balapan Random Motorsports,989 | Iga Yudistira;989 | Alvito Danendra,76561198972514361;76561199358231290,Valid,#989_BRM_HY,,,,,,,,,,,
Hypercar,BEGO BRD02 LMH (P),bego_brd02_lmh_crc_spec_2026,,,690,HY 690 | Vhoung by B.E.G.O. Racing Division,690 | Starvox;690 | Andrew Santoso;690 | Flyingsain,76561197991918886;76561198303682976;76561198320042758,Valid,690,,,,,,,,,,,
